C,SETP.WORLD,DVD_DISPATCHREGIONSUM,AEMO,PUBLIC,2025/02/20,09:44:00,001740008640062,MONTHLY_ARCHIVE,001740008640062
I,DISPATCH,REGIONSUM,8,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGEGATEDISPATCHERROR,AGGREGATEDISPATCHERROR,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,LORSURPLUS,LRCSURPLUS,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW,SS_SOLAR_UIGF,SS_WIND_UIGF,SS_SOLAR_CLEAREDMW,SS_WIND_CLEAREDMW,SS_SOLAR_COMPLIANCEMW,SS_WIND_COMPLIANCEMW,WDR_INITIALMW,WDR_AVAILABLE,WDR_DISPATCHED,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,RAISE1SECLOCALDISPATCH,LOWER1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,BDU_ENERGY_STORAGE,BDU_MIN_AVAIL,BDU_MAX_AVAIL,BDU_CLEAREDMW_GEN,BDU_CLEAREDMW_LOAD
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:15:00",1,NSW1,20241231243,0,7274.39,12012.23745,220,-23,7603.84,6,323.45,0,,,58,,,,,,,,109,,,,,,,,109,,,,,,,,103,,,,,,,,90,,,,,,,,109,,,,,,,0,"2025/01/01 00:10:03",7325.971,7300.95,,29,,,,8,,,,,,,,,,,,,,,,,,,338.82056,357.82056,581.963417,208.500573,637,806,506,430.610554,,,91.32277,7392.27277,830.23745,830.23745,0,0.00457,830.23288,0.00457,830.23288,0,0,0,0,0,0.00457,830.23288,69.98,4.59,160,118,,220,121,0.41959,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:15:00",1,QLD1,20241231243,0,6410.01,9181.82398,420,-13,6003.46,3,-409.55,0,,,132,,,,,,,,41,,,,,,,,1,,,,,,,,36,,,,,,,,209,,,,,,,,211,,,,,,,-12.50114,"2025/01/01 00:10:03",6446.50447,6423.19,,1,,,,58,,,,,,,,,,,,,,,,,,,386.482759,508.444444,242.423077,380.911789,449.54386,629.561404,388.561404,618.119862,,,105.134,6528.324,446.82398,446.82398,0,0,446.82398,0,446.82398,0,0,0,0,0,0,446.82398,32,2,91,120,,420,379,105,3
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:15:00",1,SA1,20241231243,0,1379.99,2302.21005,411,6,949.21,0,-430.78,0,,,54.14,,,,,,,,90,,,,,,,,87,,,,,,,,108,,,,,,,,108,,,,,,,,104,,,,,,,-25,"2025/01/01 00:10:03",1406.03644,1386.81,,24,,,,31,,,,,,,,,,,,,,,,,,,295,299,268,62,274,277,277,187.64999,,,0,1386.81,646.21005,646.21005,0,0,646.21005,0,646.21005,0,0,0,0,0,0,646.21005,121,33,272,257,,411,184,73,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:15:00",1,TAS1,20241231243,0,991.23,1887.13811,0,-1,882.83,0,-108.39,0,,,0,,,,,,,,58.65,,,,,,,,58.65,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,-11.48168,"2025/01/01 00:10:03",1003.70734,991.23,,50,,,,50,,,,,,,,,,,,,,,,,,,133.822045,121.190103,184.269663,159.00004,73.40501,315.17432,613.454214,413.34055,,,81.22723,1072.45723,17.13811,17.13811,0.03811,0,17.13811,0,17.13811,0,0.03811,0,0,0,0,17.13811,2,0,2,0,,0,0,0,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:15:00",1,VIC1,20241231243,0,4243.74,8135.26482,670,-22,4922.26,0,678.52,0,,,34,,,,,,,,121.9,,,,,,,,68.36,,,,,,,,206.34,,,,,,,,198.76,,,,,,,,181.76,,,,,,,0,"2025/01/01 00:10:03",4281.83819,4259.42,,106,,,,73,,,,,,,,,,,,,,,,,,,682,689,687,105,435,537,485,676.62743,,,96.853,4356.273,511.26482,511.26482,0,0,511.26482,0,511.26482,0,0,0,0,0,0,511.26482,137,3,179,134,,670,270,95,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:20:00",1,NSW1,20241231244,0,7173.05,12011.59961,220,-26,7602.8,6,423.75,0,,,68,,,,,,,,107.02,,,,,,,,95,,,,,,,,103,,,,,,,,90,,,,,,,,109,,,,,,,0,"2025/01/01 00:15:03",7220.90201,7194.64,,15,,,,0,,,,,,,,,,,,,,,,,,,338.79614,357.79614,581.938997,208.755373,704,873,583,428.163499,,,91.03277,7285.67277,829.59961,829.59961,0,0,829.59961,0,829.59961,0,0,0,0,0,0,829.59961,79,28.68,160,145,,220,121,0,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:20:00",1,QLD1,20241231244,0,6344.94,9463.24529,420,-13,5952.26,1,-393.68,0,,,40,,,,,,,,43,,,,,,,,40,,,,,,,,30,,,,,,,,209,,,,,,,,211,,,,,,,-8.04605,"2025/01/01 00:15:03",6378.61169,6355.09,,10,,,,58,,,,,,,,,,,,,,,,,,,386.482759,508.444444,242.423077,426.197519,449.54386,629.561404,388.561404,665.827522,,,104.903,6459.993,465.24529,465.24529,0,0,465.24529,0,465.24529,0,0,0,0,0,0,465.24529,40,2,91,120,,420,379,55,1
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:20:00",1,SA1,20241231244,0,1380.91,2288.99197,411,5,913.99,0,-466.92,0,,,83,,,,,,,,101,,,,,,,,55,,,,,,,,107,,,,,,,,107,,,,,,,,103,,,,,,,-25,"2025/01/01 00:15:03",1409.56477,1388.96,,20,,,,31,,,,,,,,,,,,,,,,,,,294,302,263,79,285,288,288,386.88199,,,0,1388.96,632.99197,632.99198,0,0,632.99197,0,632.99198,0,0,0,0,0,0,632.99197,111,9,270,268,,411,184,51,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:20:00",1,TAS1,20241231244,0,985.66,1887.8,0,-1,848.69,0,-136.97,0,,,0,,,,,,,,30.33,,,,,,,,30.33,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,-10.53584,"2025/01/01 00:15:03",997.19519,985.66,,50,,,,50,,,,,,,,,,,,,,,,,,,145.355205,156.173678,220.375453,185.772615,41.081029,279.658046,577.087002,432.89421,,,87.73278,1073.39278,17.8,17.8,0,0,17.8,0,17.8,0,0,0,0,0,0,17.8,2,0,2,0,,0,0,0,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:20:00",1,VIC1,20241231244,0,4269.83,8144.23954,670,-21,4893.24,0,623.41,0,,,87.45,,,,,,,,140,,,,,,,,105.17,,,,,,,,207.49,,,,,,,,194.4,,,,,,,,177.4,,,,,,,16.62089,"2025/01/01 00:15:03",4292.03855,4286.63,,115,,,,81,,,,,,,,,,,,,,,,,,,712,719,717,156.60456,543,645,593,820.53125,,,97.043,4383.673,520.23954,520.23954,0,0,520.23954,0,520.23954,0,0,0,0,0,0,520.23954,123.4,3,207,242,,670,270,57,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:25:00",1,NSW1,20241231245,0,7140.49,12017.7358,220,-32,7608.92,6,462.43,0,,,56.44,,,,,,,,115.39,,,,,,,,104,,,,,,,,103,,,,,,,,90,,,,,,,,109,,,,,,,20.06802,"2025/01/01 00:20:04",7174.80257,7161.97,,64,,,,0,,,,,,,,,,,,,,,,,,,338.82056,357.82056,581.963417,208.635263,672,841,551,460.181809,,,89.80685,7251.77685,835.7358,835.7358,0,0,835.7358,0,835.7358,0,0,0,0,0,0,835.7358,89.09,4.72,160,113,,220,121,0,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:25:00",1,QLD1,20241231245,0,6354.61,9472.4096,420,-17,5955.35,4,-403.26,0,,,132,,,,,,,,47,,,,,,,,68,,,,,,,,27,,,,,,,,207,,,,,,,,208,,,,,,,-1.23197,"2025/01/01 00:20:04",6384.92034,6368.02,,28,,,,63,,,,,,,,,,,,,,,,,,,422.482759,545.444444,279.423077,476.069119,435.350877,606.491228,385.491228,476.612582,,,105.692,6473.712,475.4096,475.4096,0,0.04854,475.36106,0.04854,475.36106,0,0,0,0,0,0.04854,475.36106,17,2,127,120,,420,378,8,4
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:25:00",1,SA1,20241231245,0,1369.41,2275.9326,411,3,881.93,0,-487.48,0,,,58,,,,,,,,103,,,,,,,,100,,,,,,,,85,,,,,,,,93,,,,,,,,85,,,,,,,-25,"2025/01/01 00:20:04",1400.72736,1378.17,,0,,,,42,,,,,,,,,,,,,,,,,,,276,284,241,101,287,290,290,140.02499,,,0,1378.17,621.9326,621.9326,0,0,621.9326,0,621.9326,0,0,0,0,0,0,621.9326,124,33,254,270,,411,182,30,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:25:00",1,TAS1,20241231245,0,970.26,1891.2,0,-1,827.13,0,-143.13,0,,,0,,,,,,,,24.17,,,,,,,,24.17,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,-9.74915,"2025/01/01 00:20:04",981.00433,970.26,,50,,,,50,,,,,,,,,,,,,,,,,,,145.969839,180.851944,242.432443,217.16282,41.837786,287.871379,554.779365,410.83722,,,86.19659,1056.45659,21.2,21.2,0,0,21.2,0,21.2,0,0,0,0,0,0,21.2,2,0,2,0,,0,0,0,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:30:00",1,SA1,20241231246,0,1379.09,2247.21408,411,0,832.21,0,-546.88,0,,,90,,,,,,,,103,,,,,,,,100,,,,,,,,74,,,,,,,,90,,,,,,,,80,,,,,,,-25,"2025/01/01 00:25:03",1415.4505,1390.35,,0,,,,40,,,,,,,,,,,,,,,,,,,276,284,236,134,287,290,290,121.161995,,,0,1390.35,598.21408,598.21408,0,0,598.21408,0,598.21408,0,0,0,0,0,0,598.21408,89,33,250,270,,411,177,4,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:25:00",1,VIC1,20241231245,0,4242.11,8130.25577,670,-20,4865.26,0,623.14,0,,,32,,,,,,,,132,,,,,,,,29.86,,,,,,,,231.27,,,,,,,,209.4,,,,,,,,197.4,,,,,,,14.62809,"2025/01/01 00:20:04",4266.18842,4260.17,,68,,,,65,,,,,,,,,,,,,,,,,,,730,738,736,146,382,464,412,559,,,95.654,4355.824,505.25577,505.25577,0,0,505.25577,0,505.25577,0,0,0,0,0,0,505.25577,122,3,207,121,,670,271,44,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:30:00",1,NSW1,20241231246,0,7162.36,12015.13604,220,-35,7606.32,6,437.96,0,,,69,,,,,,,,109,,,,,,,,109,,,,,,,,103,,,,,,,,90,,,,,,,,86.76,,,,,,,27.56948,"2025/01/01 00:25:03",7187.28618,7180.92,,29,,,,0,,,,,,,,,,,,,,,,,,,338.82055,357.82055,581.963407,216.459293,637,806,506,430.442744,,,89.49685,7270.41685,833.13604,833.13604,0,0,833.13604,0,833.13604,0,0,0,0,0,0,833.13604,88,4.75,160,118,,220,121,0,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:30:00",1,QLD1,20241231246,0,6308.87,9476.99723,420,-16,5953.12,6,-361.74,0,,,40,,,,,,,,45,,,,,,,,41,,,,,,,,65,,,,,,,,244.76,,,,,,,,250,,,,,,,-9.92702,"2025/01/01 00:25:03",6344.86928,6322.74,,50,,,,50,,,,,,,,,,,,,,,,,,,425.482759,547.444444,281.423077,448.961519,409.54386,581.561404,360.561404,575.774872,,,104.503,6427.243,478.99723,478.99723,0,0,478.99723,0,478.99723,0,0,0,0,0,0,478.99723,70,2,130,98,,420,378,0,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:30:00",1,TAS1,20241231246,0,974.7,1893.9,0,-1,861.15,0,-113.55,0,,,0,,,,,,,,53.75,,,,,,,,53.75,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,-5.24075,"2025/01/01 00:25:03",980.93903,974.7,,50,,,,50,,,,,,,,,,,,,,,,,,,146.697841,148.823928,210.916393,166.64677,53.746421,299.064438,586.609935,409.98934,,,88.28103,1062.98103,23.9,23.9,0,0,23.9,0,23.9,0,0,0,0,0,0,23.9,2,0,2,0,,0,0,0,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:30:00",1,VIC1,20241231246,0,4217.03,8130.51839,670,-18,4855.52,0,638.49,0,,,83.2,,,,,,,,114.71,,,,,,,,26.38,,,,,,,,209.5,,,,,,,,180,,,,,,,,188,,,,,,,17.38808,"2025/01/01 00:25:03",4240.03558,4239.61,,81,,,,80,,,,,,,,,,,,,,,,,,,730,737,735,159,361.0001,441.0001,389.0001,566.44356,,,96.651,4336.261,505.51839,505.51839,0,0,505.51839,0,505.51839,0,0,0,0,0,0,505.51839,111.15,3,206,123,,670,271,34,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:35:00",1,NSW1,20241231247,0,7078.85,12008.21123,220,-37,7599.34,6,514.49,0,,,80,,,,,,,,170.24,,,,,,,,131,,,,,,,,77,,,,,,,,85.81,,,,,,,,83,,,,,,,33.00444,"2025/01/01 00:30:03",7104.54379,7099.09,,22,,,,9,,,,,,,,,,,,,,,,,,,329.86938,348.86938,573.526523,221.718594,659,828,528,407.914771,,,89.09685,7188.18685,826.21123,826.21123,0,0,826.21123,0,826.21123,0,0,0,0,0,0,826.21123,62,6.8,160,140,,220,121,0,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:35:00",1,QLD1,20241231247,0,6353.95,9492.50238,420,-18,5956.19,1,-398.76,0,,,132,,,,,,,,48,,,,,,,,42,,,,,,,,60,,,,,,,,248,,,,,,,,250,,,,,,,-8.98677,"2025/01/01 00:30:03",6396.34234,6364.12,,82,,,,59,,,,,,,,,,,,,,,,,,,425.482759,547.444444,281.423077,442.961519,421.350877,600.491228,359.491228,505.124502,,,102.416,6466.536,490.50238,490.50238,0,0,490.50238,0,490.50238,0,0,0,0,0,0,490.50238,70,2,130,100,,420,378,0,1
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:35:00",1,SA1,20241231247,0,1364.22,2245.54756,411,-2,853.55,0,-510.68,0,,,55,,,,,,,,101,,,,,,,,98,,,,,,,,76,,,,,,,,93,,,,,,,,85,,,,,,,-22.82581,"2025/01/01 00:30:03",1401.13471,1373.89,,0,,,,35,,,,,,,,,,,,,,,,,,,273,281,231,107,285,288,288,146.4,,,0,1373.89,592.54756,592.54756,0,0,592.54756,0,592.54756,0,0,0,0,0,0,592.54756,96.99,31,249,268,,411,179,31,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:35:00",1,TAS1,20241231247,0,982.2,1893.43494,0,-2,799.63,0,-182.56,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,-6.20938,"2025/01/01 00:30:03",990.409,982.2,,50,,,,50,,,,,,,,,,,,,,,,,,,145.968061,190.681581,265.269663,272,41.835597,280.615476,608.35056,425,,,86.95834,1069.15834,23.43494,23.43494,0,0,23.43494,0,23.43494,0,0,0,0,0,0,23.43494,2,0,2,0,,0,0,0,0
